Site ID,Lon,Lat,Vertical Rate (mm/yr),Vertical Rate - BOP corrected (mm/yr),1-sigma uncertainty (mm/yr),Number of obs,Quality Factor,Average distance between coastal point and observations,,,,,,,
0,173.11751,-34.740926,-1.32,-1.32,15.485643,1,4.333333,39.246499,,,,,,,
1,173.127726,-34.756665,-1.32,-1.32,14.613627,1,4.333333,37.272582,,,,,,,
2,173.143557,-34.76884,-1.32,-1.32,14.319939,1,4.333333,35.49878,,,,,,,
3,173.154531,-34.767581,-1.32,-1.32,14.277605,1,4.333333,35.310875,,,,,,,
4,173.147358,-34.77575,-1.32,-1.32,14.047993,1,4.333333,34.656364,,,,,,,
5,173.157763,-34.788285,-1.32,-1.32,13.183032,1,4.333333,33.024915,,,,,,,
6,173.168738,-34.794005,-1.32,-1.32,12.850512,1,4.333333,32.109042,,,,,,,
7,173.174094,-34.804621,-1.32,-1.32,12.303296,1,4.333333,30.833224,,,,,,,
8,173.163676,-34.810595,-1.32,-1.32,12.21225,1,4.333333,30.495283,,,,,,,
9,173.169554,-34.823438,-1.32,-1.32,11.890113,1,4.333333,28.965849,,,,,,,
10,173.153274,-34.822204,-1.32,-1.32,12.139194,1,4.333333,29.612735,,,,,,,
11,173.142536,-34.811701,-1.32,-1.32,12.747783,1,4.333333,31.067626,,,,,,,
12,173.134216,-34.802056,-1.32,-1.32,13.099684,1,4.333333,32.354194,,,,,,,
13,173.128898,-34.789567,-1.32,-1.32,13.5119,1,4.333333,33.8265,,,,,,,
14,173.121454,-34.775293,-1.32,-1.32,14.162629,1,4.333333,35.558014,,,,,,,
15,173.107491,-34.771541,-1.32,-1.32,14.459053,1,4.333333,36.454601,,,,,,,
16,173.093575,-34.760374,-1.32,-1.32,15.05807,1,4.333333,38.121165,,,,,,,
17,173.092459,-34.769941,-1.32,-1.32,14.658241,1,4.333333,37.205603,,,,,,,
18,173.102859,-34.782841,-1.32,-1.32,14.297342,1,4.333333,35.494879,,,,,,,
19,173.112677,-34.797096,-1.32,-1.32,13.636735,1,4.333333,33.672472,,,,,,,
20,173.117525,-34.811483,-1.32,-1.32,12.852078,1,4.333333,32.036019,,,,,,,
21,173.13187,-34.832697,-1.32,-1.32,11.944093,1,4.333333,29.333919,,,,,,,
22,173.13187,-34.832697,-1.32,-1.32,11.944093,1,4.333333,29.333919,,,,,,,
23,173.144711,-34.821713,-1.32,-1.32,12.355934,1,4.333333,29.961033,,,,,,,
24,173.150455,-34.826308,-1.32,-1.32,11.756077,1,4.333333,29.285341,,,,,,,
25,173.156368,-34.837776,-1.32,-1.32,11.543998,1,4,27.896743,,,,,,,
26,173.168929,-34.851554,-1.32,-1.32,10.890671,1,4,26.042313,,,,,,,
27,173.1853,-34.863447,-1.32,-1.32,10.21696,1,4,24.278157,,,,,,,
28,173.204585,-34.872112,-1.32,-1.32,9.690892,1,4,22.823827,,,,,,,
29,173.224594,-34.878639,-1.32,-1.32,9.126284,1,4,21.67889,,,,,,,
30,173.246753,-34.881616,-1.32,-1.32,8.975283,1,4,21.027679,,,,,,,
31,173.268338,-34.883811,-1.32,-1.32,8.968616,1,4,20.649416,,,,,,,
32,173.279892,-34.8963,-1.32,-1.32,8.288106,1,4,19.261835,,,,,,,
33,173.275397,-34.906376,-1.32,-1.32,7.727751,1,4,18.129173,,,,,,,
34,173.269824,-34.910514,-1.32,-1.32,7.610241,1,4,17.668933,,,,,,,
35,173.260909,-34.922978,-1.32,-1.32,7.044373,1,4,16.314177,,,,,,,
36,173.246647,-34.931856,-1.32,-1.32,6.789356,1,4,15.475506,,,,,,,
37,173.229038,-34.934901,-1.32,-1.32,6.916153,1,4,15.478081,,,,,,,
38,173.221535,-34.936465,-1.32,-1.32,7.002235,1,4,15.503731,,,,,,,
39,173.236327,-34.939041,-1.32,-1.32,6.788422,1,4,14.868429,,,,,,,
40,173.227609,-34.954436,-1.32,-1.32,6.320007,1,4,13.425681,,,,,,,
41,173.214746,-34.962028,-1.32,-1.32,6.033964,1,4,13.056426,,,,,,,
42,173.217097,-34.97093,-1.32,-1.32,5.638503,1,4,12.06406,,,,,,,
43,173.22264,-34.984465,-1.32,-1.32,5.18945,1,4,10.483657,,,,,,,
44,173.224868,-34.994084,-1.32,-1.32,4.833237,1,3,9.434806,,,,,,,
45,173.235757,-34.995105,-1.32,-1.32,4.453038,1,3,8.908822,,,,,,,
46,173.226474,-35.006222,-1.32,-1.32,4.419744,1,3,8.184184,,,,,,,
47,173.23204,-35.00993,-1.32,-1.32,4.177704,1,3,7.569952,,,,,,,
48,173.232307,-35.019943,-1.32,-1.32,3.658912,1,3,6.608731,,,,,,,
49,173.239039,-35.012281,-1.32,-1.32,3.96089,1,3,7.038815,,,,,,,
50,173.245772,-35.015077,-1.32,-1.32,3.618692,1,3,6.500853,,,,,,,
51,173.240158,-35.003882,-1.32,-1.32,4.013556,1,3,7.850604,,,,,,,
52,173.246564,-34.997924,-1.32,-1.32,4.291473,1,3,8.278885,,,,,,,
53,173.252282,-35.0028,-1.32,-1.32,4.153861,1,3,7.613737,,,,,,,
54,173.263724,-35.01159,-1.32,-1.32,3.589638,1,3,6.449439,,,,,,,
55,173.26664,-35.014037,-1.32,-1.32,3.391732,1,3,6.147809,,,,,,,
56,173.262652,-35.015282,-1.32,-1.32,3.474363,1,3,6.056151,,,,,,,
57,173.269984,-35.00975,-1.32,-1.32,3.7436,1,3,6.603759,,,,,,,
58,173.268048,-35.005475,-1.32,-1.32,3.962582,1,3,7.089485,,,,,,,
59,173.284634,-35.001062,-1.32,-1.32,3.945745,1,3,7.639448,,,,,,,
60,173.292129,-35.010809,-1.32,-1.32,3.681097,1,3,6.707962,,,,,,,
61,173.278533,-35.023885,-1.32,-1.32,3.163923,1,3,5.045356,,,,,,,
62,173.278533,-35.023885,-1.32,-1.32,3.163923,1,3,5.045356,,,,,,,
63,173.289182,-35.016267,-1.32,-1.32,3.494498,1,3,6.051185,,,,,,,
64,173.304287,-35.017276,-1.32,-1.32,3.578672,1,3,6.42267,,,,,,,
65,173.307288,-35.018938,-1.32,-1.32,3.805387,1,3,6.386157,,,,,,,
66,173.292129,-35.010809,-1.32,-1.32,3.681097,1,3,6.707962,,,,,,,
67,173.307099,-34.9978,-1.32,-1.32,4.386882,1,3,8.515582,,,,,,,
68,173.315222,-35.002196,-1.32,-1.32,4.402746,1,3,8.374103,,,,,,,
69,173.322509,-34.995355,-1.32,-1.32,4.833949,1,3,9.360386,,,,,,,
70,173.328175,-34.978341,-1.32,-1.32,5.567572,1,3.333333,11.28221,,,,,,,
71,173.337808,-34.964552,-1.32,-1.32,6.165194,1,3.333333,13.051479,,,,,,,
72,173.338742,-34.951355,-1.32,-1.32,6.531419,1,3.333333,14.415063,,,,,,,
73,173.331611,-34.93552,-1.32,-1.32,7.211727,1,3.333333,15.806941,,,,,,,
74,173.324776,-34.919208,-1.32,-1.32,7.642915,1,3.333333,17.35042,,,,,,,
75,173.315796,-34.905186,-1.32,-1.32,7.970472,1,3.333333,18.672218,,,,,,,
76,173.307101,-34.899749,-1.32,-1.32,8.34494,1,3.333333,19.120909,,,,,,,
77,173.299806,-34.892194,-1.32,-1.32,8.336108,1,3.333333,19.860162,,,,,,,
78,173.289488,-34.879729,-1.32,-1.32,9.036989,1,4,21.153222,,,,,,,
79,173.289076,-34.865235,-1.32,-1.32,9.590329,1,4,22.763699,,,,,,,
80,173.296734,-34.861875,-1.32,-1.32,9.577906,1,4,23.192368,,,,,,,
81,173.319417,-34.860594,-1.32,-1.32,9.874212,1,4,23.616628,,,,,,,
82,173.335383,-34.856863,-1.32,-1.32,10.215721,1,4,24.325402,,,,,,,
83,173.355419,-34.852945,-1.32,-1.32,10.333019,1,4,25.234168,,,,,,,
84,173.374611,-34.845136,-1.32,-1.32,10.987924,1,4,26.625748,,,,,,,
85,173.390599,-34.832962,-1.32,-1.32,11.655933,1,4.333333,28.421778,,,,,,,
86,173.39643,-34.816157,-1.32,-1.32,12.271374,1,4.333333,30.359932,,,,,,,
87,173.388781,-34.806908,-1.32,-1.32,12.639053,1,4.333333,31.075944,,,,,,,
88,173.395917,-34.800085,-1.32,-1.32,12.941426,1,4.333333,32.015577,,,,,,,
89,173.395878,-34.787592,-1.32,-1.32,13.201042,1,4.333333,33.32344,,,,,,,
90,173.402302,-34.784648,-1.32,-1.32,13.652685,1,4.333333,33.833296,,,,,,,
91,173.410898,-34.79568,-1.32,-1.32,13.37889,1,4.333333,32.974427,,,,,,,
92,173.406031,-34.805109,-1.32,-1.32,12.68312,1,4.333333,31.832212,,,,,,,
93,173.411239,-34.813613,-1.32,-1.32,12.529668,1,4.333333,31.146956,,,,,,,
94,173.414588,-34.82213,-1.32,-1.32,12.149636,1,4.333333,30.409311,,,,,,,
95,173.411549,-34.827829,-1.32,-1.32,11.992641,1,4.333333,29.715666,,,,,,,
96,173.417574,-34.834851,-1.32,-1.32,11.746828,1,4.333333,29.252665,,,,,,,
97,173.425738,-34.826115,-1.32,-1.32,12.532575,1,4.333333,30.460025,,,,,,,
98,173.439658,-34.826601,-1.32,-1.32,12.492648,1,4.333333,31.015469,,,,,,,
99,173.44202,-34.832492,-1.32,-1.32,12.468828,1,4.333333,30.552649,,,,,,,
100,173.44202,-34.832492,-1.32,-1.32,12.468828,1,4.333333,30.552649,,,,,,,
101,173.452049,-34.842127,-1.32,-1.32,12.214008,1,4.333333,30.116675,,,,,,,
102,173.464873,-34.8462,-1.32,-1.32,12.199793,1,4.333333,30.395471,,,,,,,
103,173.461803,-34.852793,-1.32,-1.32,11.865691,1,4.333333,29.633024,,,,,,,
104,173.459346,-34.860114,-1.32,-1.32,11.760109,1,4.333333,28.839177,,,,,,,
105,173.446359,-34.86227,-1.32,-1.32,11.503968,1,4,27.95714,,,,,,,
106,173.440365,-34.858999,-1.32,-1.32,11.455405,1,4,27.956022,,,,,,,
107,173.435538,-34.869162,-1.32,-1.32,10.959165,1,4,26.766283,,,,,,,
108,173.420833,-34.876847,-1.32,-1.32,10.484276,1,4,25.31622,,,,,,,
109,173.404258,-34.880304,-1.32,-1.32,9.880832,1,4,24.207035,,,,,,,
110,173.390603,-34.877204,-1.32,-1.32,9.969402,1,4,23.923576,,,,,,,
111,173.375591,-34.879247,-1.32,-1.32,9.860029,1,4,23.132207,,,,,,,
112,173.368733,-34.896461,-1.32,-1.32,8.870417,1,4,21.123416,,,,,,,
113,173.371158,-34.913977,-1.32,-1.32,8.434611,1,4,19.461588,,,,,,,
114,173.377662,-34.931282,-1.32,-1.32,7.823066,1,4,18.075718,,,,,,,
115,173.386778,-34.947475,-1.32,-1.32,7.491234,1,4,17.061622,,,,,,,
116,173.39854,-34.960892,-1.32,-1.32,7.405321,1,4,16.619572,,,,,,,
117,173.414271,-34.974902,-1.32,-1.32,7.329376,1,4,16.61047,,,,,,,
118,173.427904,-34.98428,-1.32,-1.32,7.486659,1,4,16.98974,,,,,,,
119,173.410868,-34.983317,-1.32,-1.32,7.017791,1,4,15.785563,,,,,,,
120,173.424974,-34.986862,-1.32,-1.32,7.264982,1,4,16.607478,,,,,,,
121,173.438802,-34.985011,-1.32,-1.32,7.933065,1,4,17.782156,,,,,,,
122,173.452442,-34.984685,-1.32,-1.32,8.259432,1,4,18.870141,,,,,,,
123,173.465615,-34.993119,-1.32,-1.32,8.230325,1,4,19.495026,,,,,,,
